PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-03-27,15:05:39.09,1,1,"Selvig, Cole",806217,Right,MIN_GOL,"Bemis, Alex",838710,Right,OSU_BUC,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.58285,0.450215,-1.617867,2454.99273,131.471397,10:30,5.6114,2.4039,5.34221,-27.8084,11.62201,-11.59406,3.71655,-0.08035,77.36304,-4.715581,-3.674892,0.451947,,,,,,,,,,,,5.25477,6.09378,-2.24965,50,5.63258,4.01945,-123.99823,0.01415,8.08002,27.66096,-22.80397,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,53b63db0-2a18-11f1-a14e-0788cba49e4c,83.4002,,,8.21981,,,,,,,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:05:39.09,2026-03-27T15:05:39.0955520-05:00,2026-03-27T20:05:39.0955520Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,b2b24fe8-0086-4364-bf0d-afed55b98331,55.15258,-125.14237,13.83048,5.61248,0.95739,-11.40199,-2.409,3.68523,4.04001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-03-27,15:05:53.06,1,2,"Selvig, Cole",806217,Right,MIN_GOL,"Bemis, Alex",838710,Right,OSU_BUC,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.75792,-1.318722,-1.940673,2098.133882,200.672063,12:45,5.86888,1.86094,5.97315,-13.29717,19.40257,6.89032,3.53733,0.63532,83.84766,-3.902162,-0.703094,0.41157,78.52882,51.185348,170.33056,3730.416502,,,,,59.2954,,,-4.14634,10.71193,-1.71119,50,5.7572,4.25914,-134.55454,-3.45284,-7.51886,32.16003,-12.74934,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,5c015950-2a18-11f1-a14e-0788cba49e4c,91.58212,59.22645,,8.91026,,,,1.28761,3.59351,-0.62057,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:05:53.06,2026-03-27T15:05:53.0666496-05:00,2026-03-27T20:05:53.0666496Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,0fa005a0-fb5d-47a3-bb05-a1273de6cdbc,54.52421,-135.63156,16.08002,5.86569,-3.02588,-6.37467,-1.85804,4.51095,-3.75943,340.924532,1.28761,-71.16745,2.1318,1.00049,0.91714,-2.41111,2.7155,-1.63395,0.42103,3.59351,89.74135,-33.66961,4.50918,0.20135,-2.0967,2.52466,-1.60771,0.44349,-0.62057,12.12547,-5.49514,1.14437,0.06962,-0.58405,0.69513,-0.43652,0.11824,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2026-03-27,15:06:11.93,1,3,"Selvig, Cole",806217,Right,MIN_GOL,"Bemis, Alex",838710,Right,OSU_BUC,Undefined,1,Top,0,1,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.57224,-1.053604,-2.327268,3164.347038,115.197065,9:45,5.57986,2.19178,5.51454,-35.48726,5.99528,-8.78819,1.63648,-0.71792,74.43833,-7.654617,-3.892505,0.463558,,,,,,,,,,,,3.45666,3.97252,-1.98283,50,5.46494,5.34201,-122.08853,-3.46535,4.97466,34.42461,-26.457,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,67462cf0-2a18-11f1-a14e-0788cba49e4c,81.31118,,,10.13392,,,,,,,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:06:11.93,2026-03-27T15:06:11.9350272-05:00,2026-03-27T20:06:11.9350272Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,ee03ef2f-f67d-434c-aae8-1e9d02ac38c2,54.97739,-123.484,17.21231,5.58368,-2.39286,-13.2285,-2.19529,5.14036,2.48733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-03-27,15:06:34.52,1,4,"Selvig, Cole",806217,Right,MIN_GOL,"Bemis, Alex",838710,Right,OSU_BUC,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.01255,-2.308179,-3.531875,2757.376542,112.201649,9:45,5.52139,2.09212,5.62595,-30.02856,10.34465,-20.77115,0.85994,-2.93865,75.46672,-7.911545,-7.224743,0.457318,,,,,,,,,,,,8.77914,6.79792,-1.77827,50,5.30613,8.5841,-123.84605,-5.99314,12.91406,36.87609,-22.17432,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,74d369f0-2a18-11f1-a14e-0788cba49e4c,82.42069,,,10.54583,,,,,,,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:06:34.52,2026-03-27T15:06:34.5214464-05:00,2026-03-27T20:06:34.5214464Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,2cbcf846-9e41-49ca-99e4-e84b45f7a8f6,54.86157,-125.28526,18.43805,5.52314,-5.12771,-11.08716,-2.10346,8.08009,6.45703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-03-27,15:06:53.99,1,5,"Selvig, Cole",806217,Right,MIN_GOL,"Bemis, Alex",838710,Right,OSU_BUC,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.25258,-0.766761,-1.597543,2100.528424,200.665249,12:45,5.92324,1.8353,6.12697,-14.29639,17.74796,6.28681,4.02278,0.88209,84.54294,-3.529561,-0.464763,0.407424,,,,,,,,,,,,-3.72189,9.7104,-1.71633,50,5.8571,3.50423,-135.38638,-2.20212,-6.85539,31.65971,-14.2883,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,8054d160-2a18-11f1-a14e-0788cba49e4c,92.51396,,,8.70964,,,,,,,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:06:53.99,2026-03-27T15:06:53.9995648-05:00,2026-03-27T20:06:53.9995648Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,fde27dfd-819b-4bd8-b3b8-a00aefe4dd13,54.3702,-136.40451,15.82986,5.92053,-1.74262,-7.14415,-1.83257,3.72469,-3.4277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-03-27,15:07:32.46,1,6,"Selvig, Cole",806217,Right,MIN_GOL,"Bemis, Alex",838710,Right,OSU_BUC,Undefined,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,86.73329,-2.26548,-2.885141,1697.763207,111.884304,9:45,5.5821,2.10004,5.52594,-31.41384,6.95118,-13.90666,0.84256,-1.75836,78.70828,-8.029115,-5.359476,0.445799,,,,,,,,,,,,6.04052,4.67642,-1.83977,50,5.36428,6.93376,-125.48653,-6.08225,9.47499,29.25018,-24.83873,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,974f3bd0-2a18-11f1-a14e-0788cba49e4c,84.55029,,,8.02501,,,,,,,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:07:32.46,2026-03-27T15:07:32.4630528-05:00,2026-03-27T20:07:32.4630528Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,400a193d-d527-4c7d-8fa0-ae339cce4581,54.9697,-126.63964,14.62509,5.58475,-5.10305,-12.41937,-2.10575,6.56023,4.73749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-03-27,15:08:08.34,2,1,"Selvig, Cole",806217,Right,MIN_GOL,"Kaczmar, Henry",808793,Left,OSU_BUC,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.49346,-2.216036,-3.851235,2217.559896,205.988732,12:45,5.71885,2.07425,5.91561,-12.88446,20.02666,9.11504,2.58283,-0.74575,83.18141,-4.751137,-2.220339,0.412898,,,,,,,,,,,,-5.95237,11.33264,-1.77,50,5.53342,8.6616,-135.0349,-5.54421,-10.70796,36.45158,-11.78731,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,acb1a120-2a18-11f1-a14e-0788cba49e4c,91.28757,,,10.31204,,,,,,,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:08:08.34,2026-03-27T15:08:08.3475456-05:00,2026-03-27T20:08:08.3475456Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,01b64e06-a20d-479f-b907-ed2175df0259,54.57607,-136.26457,18.22579,5.71374,-5.14657,-5.89365,-2.06829,9.02283,-5.35398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-03-27,15:08:24.54,2,2,"Selvig, Cole",806217,Right,MIN_GOL,"Kaczmar, Henry",808793,Left,OSU_BUC,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.66394,-2.200282,-3.587574,2423.456962,210.376646,1:00,5.85347,1.83718,5.94413,-7.5463,26.0049,14.42367,3.17869,-0.29293,82.04505,-3.799459,-1.003917,0.416894,98.55281,52.469562,30.663211,4223.628108,,,,,72.58646,,,-8.70867,14.5132,-1.55926,50,5.67394,7.74964,-133.911,-5.22421,-15.3286,37.17155,-6.62856,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,b64b5cd0-2a18-11f1-a14e-0788cba49e4c,90.41254,96.85571,,10.6189,,,,1.64205,3.16075,0.1307,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:08:24.54,2026-03-27T15:08:24.5447168-05:00,2026-03-27T20:08:24.5447168Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,e15a6041-07ca-40f5-a934-eeae9670687b,54.55098,-135.16837,18.58577,5.84686,-4.99999,-3.31428,-1.83017,8.26815,-7.6643,168.07503,1.64206,75.74177,-18.70927,5.03666,-1.08092,-0.00585,0.32087,-0.26081,0.07837,3.16075,114.62783,-25.01251,2.54076,-0.52973,0.38207,-0.43451,0.29968,-0.08672,0.1307,44.9063,-15.18765,4.39708,-0.96728,-0.06394,0.37912,-0.30014,0.08969,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
9,2026-03-27,15:08:58.96,3,1,"Selvig, Cole",806217,Right,MIN_GOL,"Furcht, Noah",822663,Right,OSU_BUC,Undefined,1,Top,2,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Error,0,0,,85.34137,-0.540554,-2.477722,2219.082682,137.423746,10:30,5.58238,2.20957,5.70196,-28.38297,11.5932,-9.13382,2.71296,-0.86175,75.7563,-5.878681,-4.108054,0.455063,50.33106,-13.735754,-10.013181,,,,,10.69253,10.04507,-3.298183,0.136736,3.68666,6.55516,-1.99592,50,5.51993,5.72809,-123.39411,-2.07549,5.48728,32.46757,-22.4173,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,cae457a0-2a18-11f1-a14e-0788cba49e4c,82.82897,2.74665,,9.58507,,,,1.08518,2.74665,0.92495,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:08:58.96,2026-03-27T15:08:58.9697024-05:00,2026-03-27T20:08:58.9697024Z,GroundBall,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,ba3914b6-2042-4772-aa94-627bb78bdaa8,54.79119,-124.64839,16.23378,5.58338,-1.20946,-11.20865,-2.21311,5.51611,2.74364,293.745693,1.08506,70.62728,-3.60583,,,,,,,2.74677,-17.53893,-18.64911,,,,,,,0.92493,-12.4669,8.80298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-03-27,15:09:47.57,4,1,"Selvig, Cole",806217,Right,MIN_GOL,"Eckelman, Mason",806065,Left,OSU_BUC,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.66979,-1.252671,-2.214873,1765.20289,129.733928,10:15,5.57191,2.44738,5.69653,-28.52568,9.96087,-10.50524,2.02636,-0.4931,78.44741,-6.527409,-4.09119,0.446505,,,,,,,,,,,,4.70433,5.80087,-2.25472,50,5.44899,5.24293,-124.28841,-3.67145,7.33551,25.64236,-23.12869,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,e7cf72f0-2a18-11f1-a14e-0788cba49e4c,84.41668,,,7.22238,,,,,,,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:09:47.57,2026-03-27T15:09:47.5781120-05:00,2026-03-27T20:09:47.5781120Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,263ca426-aec3-43f0-8d08-0ddccfda5477,54.80136,-125.27508,12.82118,5.57314,-2.78151,-11.56435,-2.45103,4.96068,3.66775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2026-03-27,15:10:06.60,4,2,"Selvig, Cole",806217,Right,MIN_GOL,"Eckelman, Mason",806065,Left,OSU_BUC,Undefined,1,Top,2,0,1,Slider,Slider,InPlay,Undefined,LineDrive,Triple,0,1,,87.14866,-0.841778,-2.417753,3209.491863,165.647372,11:30,5.52898,2.47779,5.46618,-26.79864,11.7026,-2.59728,2.50717,-0.00279,77.6094,-5.860035,-2.879623,0.44659,104.45188,17.316076,27.242579,2314.862222,96.27133,27.93863,53.21419,314.37263,243.33689,33.434991,2.886343,0.42579,6.63099,-2.26312,50,5.43714,5.43533,-126.01707,-2.76199,0.66429,32.70359,-21.82832,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,f32ab4c0-2a18-11f1-a14e-0788cba49e4c,84.40058,32.4216,,9.53926,,,,2.4622,2.56408,-0.15428,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:10:06.60,2026-03-27T15:10:06.6010624-05:00,2026-03-27T20:10:06.6010624Z,LineDrive,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,dfc4b444-e111-47be-9288-6d6f367b7ef2,55.02813,-127.31526,16.3518,5.52958,-1.8955,-10.91416,-2.47836,5.40896,0.33215,241.077016,2.4623,130.02549,-23.24273,5.38194,-1.12833,0.1858,-0.02046,0.00101,1E-05,2.564,45.60085,-18.9782,1.43951,-0.27512,0.08094,-0.02324,0.00428,-0.00031,-0.15436,66.95182,-2.46609,-0.20059,0.12602,-0.0082,-0.00744,0.00208,-0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
12,2026-03-27,15:11:00.88,5,1,"Selvig, Cole",806217,Right,MIN_GOL,"Harvey, Dane",838717,Left,OSU_BUC,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.27494,-0.067445,-2.395237,2122.440762,200.02638,12:45,5.88736,1.94334,6.33225,-12.00977,20.10245,6.89937,4.82439,0.31148,83.66971,-2.449633,-1.148416,0.407856,,,,,,,,,,,,-4.32756,10.75209,-1.77155,50,5.87626,5.35407,-135.24538,-0.40919,-7.87773,34.22495,-12.6014,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,1371f360-2a19-11f1-a14e-0788cba49e4c,92.41609,,,9.60523,,,,,,,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:11:00.88,2026-03-27T15:11:00.8849408-05:00,2026-03-27T20:11:00.8849408Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,ffd0a800-e934-4132-894d-0e9e91861e93,54.16152,-136.29442,17.11248,5.88288,-0.02294,-6.3007,-1.93936,5.59553,-3.93886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2026-03-27,15:11:18.26,5,2,"Selvig, Cole",806217,Right,MIN_GOL,"Harvey, Dane",838717,Left,OSU_BUC,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.82183,-1.770356,-4.050102,2276.907146,205.334166,12:45,5.70713,1.91465,6.45999,-12.05973,20.251,9.02882,3.07137,-1.05944,83.52469,-4.157759,-2.418742,0.409114,,,,,,,,,,,,-5.96099,11.43607,-1.63152,50,5.57577,9.12953,-134.38345,-4.4084,-10.74195,33.076,-11.56576,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,1de40db0-2a19-11f1-a14e-0788cba49e4c,92.13177,,,9.29714,,,,,,,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:11:18.26,2026-03-27T15:11:18.2664192-05:00,2026-03-27T20:11:18.2664192Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,244c3444-49c6-48fa-becf-7c2d91ac9e71,54.0347,-135.37287,16.538,5.70247,-4.06242,-5.78288,-1.90942,9.45086,-5.37098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,2026-03-27,15:11:36.85,5,3,"Selvig, Cole",806217,Right,MIN_GOL,"Harvey, Dane",838717,Left,OSU_BUC,Undefined,1,Top,2,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,93.63007,-2.079276,-3.418568,2132.664572,204.914869,12:45,5.73506,1.9811,6.00194,-15.18658,17.20198,7.42729,2.53866,-0.57123,84.09193,-5.008431,-2.086281,0.409607,101.36149,51.643387,13.074562,3694.24006,,,,,93.95404,,,-4.95988,9.88245,-1.71611,50,5.56307,7.768,-135.51227,-5.36202,-9.05357,34.68526,-14.13509,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,28e28980-2a19-11f1-a14e-0788cba49e4c,92.02103,116.08896,,9.53815,,,,2.03387,2.57661,0.4068,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:11:36.85,2026-03-27T15:11:36.8587776-05:00,2026-03-27T20:11:36.8587776Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Neels, Weber",809730,Right,MIN_GOL,af0944f5-f1c1-4763-ae23-183bbcec8d29,54.49459,-136.65785,17.34263,5.73246,-4.89517,-7.06755,-1.97761,8.06702,-4.52678,154.203313,2.03388,89.86,-21.60175,5.50149,-0.58103,-1.00614,1.10602,-0.50484,0.08842,2.57659,116.57816,-26.40453,3.05137,-1.17735,1.28422,-1.0932,0.48119,-0.0841,0.40682,20.86683,-13.57586,4.05479,-0.15338,-1.43012,1.46482,-0.66346,0.1163,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
15,2026-03-27,15:14:38.42,1,1,"Kuzniewski, Gavin",10046293,Right,OSU_BUC,"Spanier, Jack",822384,Right,MIN_GOL,Undefined,1,Bottom,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.88566,-3.165518,-3.072026,1976.017434,231.929448,1:45,5.67646,1.22141,6.66828,-22.56608,16.51379,18.94021,0.89261,-0.01362,75.30212,-7.530796,0.375851,0.449933,,,,,,,,,,,,-11.13115,10.38201,-1.02195,50,5.45483,5.87698,-122.76028,-7.34583,-16.36889,32.51967,-16.90681,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,952ba310-2a19-11f1-a14e-0788cba49e4c,83.77343,,,9.58354,,,,,,,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:14:38.42,2026-03-27T15:14:38.4229888-05:00,2026-03-27T20:14:38.4229888Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Eckelman, Mason",806065,Right,OSU_BUC,930d0a3e-43dc-46fb-81c2-ac10a3719416,53.82627,-123.76972,16.25984,5.67471,-6.82103,-8.45341,-1.21226,6.38509,-8.18445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
16,2026-03-27,15:14:56.30,1,2,"Kuzniewski, Gavin",10046293,Right,OSU_BUC,"Spanier, Jack",822384,Right,MIN_GOL,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.06618,-1.192385,-3.210655,2059.491287,221.085559,1:15,5.78825,1.34816,6.54342,-18.58237,16.73627,13.36036,3.14429,-0.48608,79.3041,-4.808861,-0.787512,0.427734,57.57619,10.098982,126.85185,3793.953397,,,,93.79409,47.16685,134.637366,1.367822,-8.10638,9.58008,-1.13076,50,5.69754,6.69562,-128.98847,-3.15053,-13.27909,33.75388,-16.48089,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,a0ca5680-2a19-11f1-a14e-0788cba49e4c,88.1213,7.56085,,9.76209,,,,0.00842,3.21126,0.11348,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:14:56.30,2026-03-27T15:14:56.3011072-05:00,2026-03-27T20:14:56.3011072Z,GroundBall,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Eckelman, Mason",806065,Right,OSU_BUC,102e6ed5-86cd-43e4-b98d-dae781b8b08c,53.95074,-130.0182,16.87694,5.78598,-2.64775,-8.24045,-1.3412,7.10073,-6.63954,,0.00842,-49.861,1.42877,-0.06566,-0.1096,0.05105,-0.01447,0.0026,-0.00026,3.21126,14.80736,-12.48281,-0.31624,0.28625,-0.08862,0.0227,-0.00344,0.00026,0.11348,66.52497,-17.42016,4.13964,-0.84485,0.15323,-0.02726,0.00418,-0.00032,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
17,2026-03-27,15:15:16.48,1,3,"Kuzniewski, Gavin",10046293,Right,OSU_BUC,"Spanier, Jack",822384,Right,MIN_GOL,Undefined,1,Bottom,0,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.30794,0.245414,-2.705565,1340.798691,249.737314,2:15,5.64408,1.34859,6.15883,-35.53344,9.46465,19.9932,2.90993,0.51337,70.20765,-6.512238,0.899445,0.482801,,,,,,,,,,,,-11.21886,5.41185,-1.15175,50,5.64567,4.66747,-116.00474,-0.53527,-14.55024,31.42537,-25.15518,MIN_GOL,OSU_BUC,SiebertField,D1,BIG10,20260327-SiebertField-1,abe31110-2a19-11f1-a14e-0788cba49e4c,78.07026,,,10.10029,,,,,,,79dbac16-34d7-4f26-840f-5c40d1ce8d8b,2026-03-27,20:15:16.48,2026-03-27T15:15:16.4832768-05:00,2026-03-27T20:15:16.4832768Z,,v3,471360,4144,f2f462564d4a49eebd32d17815333e37,"Eckelman, Mason",806065,Right,OSU_BUC,1714b4ec-1e67-4bd5-b0e5-eb1936e25d0e,54.32917,-117.17163,15.71268,5.6482,0.3988,-12.57759,-1.33509,5.20775,-7.27512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
